line,brigade,lon,lat,time
N25,194,21.16691,52.211135999999996,2017-10-02 23:59:59
401,012,20.921492999999998,52.197191,2017-10-02 19:16:51
105,1,20.898429999999998,52.239422999999995,2017-10-02 23:59:57
116,15,20.912793,52.23952,2017-10-02 23:59:52
N43,2,20.958609,52.22272,2017-10-02 23:59:59
N33,174,20.99387,52.188815000000005,2017-10-02 23:59:52
N35,138,20.988768,52.224363000000004,2017-10-02 23:59:55
L39,1,21.0203645,52.082060999999996,2017-10-02 23:36:55
L12,1,21.1057905,52.119325599999996,2017-04-24 07:45:36
169,2,21.041666,52.300345,2017-10-03 00:00:01
190,6,21.035909,52.255225,2017-10-03 00:00:01
111,9,21.012645000000003,52.261708,2017-10-03 00:00:04
511,3,20.972201000000002,52.320591,2017-10-03 00:00:02
518,3,21.004713,52.288555,2017-10-03 00:00:03
731,62,20.941784,52.36802,2017-10-03 00:00:02
140,6,21.114341,52.334268,2017-10-03 00:00:01
114,8,21.026162,52.281003000000005,2017-10-03 00:00:01
511,2,20.928415,52.291216999999996,2017-10-03 00:00:01
517,7,21.043414000000002,52.273754,2017-10-03 00:00:03
509,14,21.046298,52.26262,2017-10-03 00:00:01
723,63,20.991531,52.301245,2017-10-02 23:59:55
509,11,21.037259,52.267309000000004,2017-10-02 23:59:55
500,6,21.042212,52.295101,2017-10-02 23:59:56
527,7,21.060304000000002,52.315101,2017-10-03 00:00:01
723,66,20.92367,52.375780999999996,2017-10-02 05:20:22
345,2,21.102995,52.285932,2017-10-03 00:00:01
N01,5,20.914786,52.231064,2017-10-03 00:00:00
N62,128,21.008469,52.260386,2017-10-02 23:59:52
N44,2,21.002843,52.234194,2017-10-02 23:59:52
N13,148,20.98331,52.254844,2017-10-03 00:00:03
723,245,20.931839,52.366946999999996,2017-10-02 23:59:56
N61,121,21.003732,52.231184000000006,2017-10-03 00:00:02
N36,213,21.002612,52.189014,2017-10-02 23:59:50
120,3,21.046337,52.259696999999996,2017-10-03 00:00:02
N45,125,21.003514000000003,52.231242,2017-10-03 00:00:01
N02,3,20.933497,52.271143,2017-10-03 00:00:03
104,3,21.033367000000002,52.334926,2017-10-03 00:00:03
N42,216,21.004175,52.239812,2017-10-02 23:59:57
240,2,21.027763,52.277879999999996,2017-10-02 23:59:58
N11,201,21.061652,52.325131,2017-10-03 00:00:01
197,8,20.948198,52.278092,2017-10-03 00:00:00
N03,3,20.941422,52.332167999999996,2017-10-02 23:59:58
N11,122,21.059424,52.267301,2017-10-03 00:00:01
717,2,20.91354,52.188334999999995,2017-10-03 00:00:03
ZP,6,20.802464999999998,52.166924,2017-10-03 00:00:01
717,5,20.771739999999998,52.160564,2017-10-03 00:00:00
189,15,20.896570999999998,52.202146,2017-10-02 23:59:59
189,4,20.927229,52.196219,2017-10-02 23:59:58
112,7,20.914624,52.229046000000004,2017-10-02 23:59:58
190,16,21.033176,52.253961,2017-10-03 00:00:04
REZERWA ,C94,20.922619,52.195658,2017-10-02 19:26:10
128,8,20.964270000000003,52.209528999999996,2017-10-03 00:00:04
713,1,20.858619,52.215902,2017-10-02 23:59:57
155,3,20.932382999999998,52.234099,2017-10-02 23:59:50
512,4,21.049699,52.286013,2017-10-02 23:59:52
509,2,20.962473000000003,52.317383,2017-10-02 23:59:59
738,52,21.178795,52.415157,2017-10-03 00:00:04
N13,344,20.939876,52.339985,2017-10-02 23:59:41
705,2,20.995841,52.256776,2017-10-02 23:59:59
114,9,21.037405,52.267229,2017-10-02 23:59:58
512,1,21.064713,52.287574,2017-10-02 23:59:57
114,3,20.917051999999998,52.312877,2017-10-02 23:59:44
190,2,21.085493,52.305040999999996,2017-10-03 00:00:00
705,04,21.028703,52.369161,2017-10-02 23:59:59
112,13,21.048091,52.286951,2017-10-02 23:59:55
L-6,1,20.695861999999998,52.245641,2017-09-05 10:07:05
L29,1,20.587232,52.257355,2017-10-02 12:36:51
116,4,21.065951000000002,52.202605,2017-10-02 23:59:56
N44,207,20.933505,52.298423,2017-10-02 23:58:02
171,4,20.923092999999998,52.196513,2017-10-02 23:59:53
N22,204,21.148227,52.214157,2017-10-03 00:00:03
172,2,21.069019,52.181360999999995,2017-10-03 00:00:01
136,3,21.04344,52.148433000000004,2017-10-02 23:59:57
136,6,20.977469,52.210651,2017-10-03 00:00:02
N37,261,21.017804,52.219887,2017-10-02 23:59:58
167,8,21.013732,52.195782,2017-10-03 00:00:00
727,3,20.943773,52.036834999999996,2017-10-03 00:00:02
189,14,20.91535,52.203678000000004,2017-10-03 00:00:03
N83,171,21.048591000000002,52.205816999999996,2017-10-02 23:59:58
217,2,20.998363,52.188934,2017-10-03 00:00:04
180,7,21.113732000000002,52.227886,2017-10-03 00:00:01
125,6,21.093535,52.244108000000004,2017-10-02 23:59:55
523,4,21.085764,52.245234,2017-10-02 23:59:56
145,2,21.128428,52.252858,2017-10-03 00:00:02
N72,205,21.021516000000002,52.232057,2017-10-03 00:00:02
171,14,21.043371,52.222871000000005,2017-10-02 23:59:54
171,2,21.021179999999998,52.22955,2017-10-02 23:59:48
N21,1,21.224035,52.231629999999996,2017-10-03 00:00:03
138,3,21.054883,52.262305,2017-10-02 23:59:56
514,4,21.2246,52.25042,2017-10-02 23:59:52
514,1,21.121598000000002,52.232807,2017-10-03 00:00:00
145,7,21.022698000000002,52.292497999999995,2017-10-02 23:59:50
148,6,21.085331,52.244461,2017-10-02 23:59:57
185,4,21.040951999999997,52.159653999999996,2017-10-02 23:59:55
187,3,21.118129,52.234204999999996,2017-10-02 23:59:55
116,3,21.118327999999998,52.23272,2017-10-02 23:59:56
143,012,21.152639,52.268322999999995,2017-10-02 23:59:59
125,2,21.139713,52.228794,2017-10-03 00:00:03
116,5,21.076588,52.167702,2017-10-02 23:59:47
